inventory_id,restaurant_id,item_id,date,stock_level,consumed_qty,replenished_qty
INV00000001,R001,M0106,2025-11-02,192,57,41
INV00000002,R001,M0109,2025-11-02,194,68,32
INV00000003,R001,M0142,2025-11-02,79,3,68
INV00000004,R001,M0056,2025-11-02,128,52,66
INV00000005,R001,M0095,2025-11-02,104,69,74
INV00000006,R001,M0030,2025-11-02,27,20,91
INV00000007,R001,M0102,2025-11-02,135,25,95
INV00000008,R001,M0052,2025-11-02,87,23,97
INV00000009,R001,M0101,2025-11-02,66,23,46
INV00000010,R001,M0143,2025-11-02,178,57,72
INV00000011,R001,M0020,2025-11-02,196,57,50
INV00000012,R001,M0085,2025-11-02,34,28,73
INV00000013,R001,M0016,2025-11-02,97,40,79
INV00000014,R001,M0067,2025-11-02,78,67,85
INV00000015,R001,M0025,2025-11-02,49,20,7
INV00000016,R001,M0031,2025-11-02,119,61,14
INV00000017,R001,M0129,2025-11-02,81,49,95
INV00000018,R001,M0148,2025-11-02,99,78,38
INV00000019,R001,M0099,2025-11-02,122,107,0
INV00000020,R001,M0017,2025-11-02,150,52,16
INV00000021,R001,M0076,2025-11-02,145,139,98
INV00000022,R001,M0019,2025-11-02,138,1,34
INV00000023,R001,M0013,2025-11-02,174,146,19
INV00000024,R001,M0010,2025-11-02,94,27,16
INV00000025,R001,M0032,2025-11-02,159,153,86
INV00000026,R001,M0152,2025-11-02,123,75,65
INV00000027,R001,M0098,2025-11-02,159,23,84
INV00000028,R001,M0057,2025-11-02,64,27,97
INV00000029,R001,M0132,2025-11-02,56,0,69
INV00000030,R001,M0105,2025-11-02,147,118,3
INV00000031,R001,M0137,2025-11-02,123,57,41
INV00000032,R001,M0079,2025-11-02,81,12,18
INV00000033,R001,M0061,2025-11-02,104,60,97
INV00000034,R001,M0116,2025-11-02,144,5,17
INV00000035,R001,M0003,2025-11-02,150,39,33
INV00000036,R001,M0124,2025-11-02,53,44,65
INV00000037,R001,M0046,2025-11-02,114,96,42
INV00000038,R001,M0043,2025-11-02,145,51,1
INV00000039,R001,M0070,2025-11-02,27,3,64
INV00000040,R001,M0091,2025-11-02,145,58,64
INV00000041,R001,M0027,2025-11-02,147,28,43
INV00000042,R001,M0139,2025-11-02,57,24,17
INV00000043,R001,M0083,2025-11-02,158,4,60
INV00000044,R001,M0097,2025-11-02,154,36,60
INV00000045,R001,M0147,2025-11-02,182,160,72
INV00000046,R001,M0037,2025-11-02,164,59,46
INV00000047,R001,M0082,2025-11-02,164,102,76
INV00000048,R001,M0023,2025-11-02,22,18,36
INV00000049,R001,M0144,2025-11-02,193,161,98
INV00000050,R001,M0068,2025-11-02,58,13,11
INV00000051,R001,M0115,2025-11-02,175,166,65
