order_item_id,order_id,item_id,quantity,unit_price,discount_pct,promotion_id,line_total
OI00000001,ORD0000001,M0108,2,17.67,0.0,,35.34
OI00000002,ORD0000001,M0019,1,8.39,0.0,,8.39
OI00000003,ORD0000001,M0044,1,10.64,0.0,,10.64
OI00000004,ORD0000001,M0131,3,20.87,0.0,,62.61
OI00000005,ORD0000002,M0094,1,13.55,0.0,,13.55
OI00000006,ORD0000002,M0135,2,16.69,0.0,,33.38
OI00000007,ORD0000002,M0139,1,30.72,0.0,,30.72
OI00000008,ORD0000003,M0098,1,37.98,0.0,,37.98
OI00000009,ORD0000004,M0051,1,23.06,0.0,,23.06
OI00000010,ORD0000004,M0135,2,16.69,0.0,,33.38
OI00000011,ORD0000005,M0107,1,8.4,0.0,,8.4
OI00000012,ORD0000005,M0120,1,8.63,0.0,,8.63
OI00000013,ORD0000006,M0108,1,17.67,0.0,,17.67
OI00000014,ORD0000006,M0088,1,10.32,0.0,,10.32
OI00000015,ORD0000006,M0130,2,16.58,0.0,,33.16
OI00000016,ORD0000007,M0088,1,10.32,0.0,,10.32
OI00000017,ORD0000007,M0006,2,28.1,0.0,,56.2
OI00000018,ORD0000007,M0003,2,31.6,0.0,,63.2
OI00000019,ORD0000007,M0099,1,11.02,0.0,,11.02
OI00000020,ORD0000008,M0037,1,18.87,0.0,,18.87
OI00000021,ORD0000009,M0081,1,6.5,0.0,,6.5
OI00000022,ORD0000009,M0029,1,6.86,0.0,,6.86
OI00000023,ORD0000009,M0098,1,37.98,0.0,,37.98
OI00000024,ORD0000010,M0084,1,7.82,0.0,,7.82
OI00000025,ORD0000010,M0088,1,10.32,0.0,,10.32
OI00000026,ORD0000010,M0004,1,15.93,0.0,,15.93
OI00000027,ORD0000010,M0054,1,48.03,0.0,,48.03
OI00000028,ORD0000010,,1,44.53,0.0,,44.53
OI00000029,ORD0000011,M0005,1,13.03,0.0,,13.03
OI00000030,ORD0000011,M0014,1,6.49,0.0,,6.49
OI00000031,ORD0000012,M0079,3,4.36,0.0,,13.08
OI00000032,ORD0000012,M0124,1,3.79,0.0,,3.79
OI00000033,ORD0000012,M0091,1,14.39,0.0,,14.39
OI00000034,ORD0000013,M0022,1,16.69,0.0,,16.69
OI00000035,ORD0000013,M0127,1,34.56,0.0,,34.56
OI00000036,ORD0000013,M0080,2,20.77,0.0,,41.54
OI00000037,ORD0000013,M0010,1,27.34,0.0,,27.34
OI00000038,ORD0000013,M0115,1,19.51,0.0,,19.51
OI00000039,ORD0000014,M0037,1,18.87,0.0,,18.87
OI00000040,ORD0000014,M0083,1,42.19,0.0,,42.19
OI00000041,ORD0000014,M0099,1,11.02,0.0,,11.02
OI00000042,ORD0000014,M0067,1,16.75,0.0,,16.75
OI00000043,ORD0000015,M0144,3,17.59,0.0,,52.77
OI00000044,ORD0000015,M0094,1,13.55,0.0,,13.55
OI00000045,ORD0000015,M0027,1,5.69,0.0,,5.69
OI00000046,ORD0000015,M0145,1,14.94,0.0,,14.94
OI00000047,ORD0000015,M0111,1,39.89,0.0,,39.89
OI00000048,ORD0000015,M0113,2,29.12,0.0,,58.24
OI00000049,ORD0000016,M0004,1,15.93,0.0,,15.93
OI00000050,ORD0000016,M0114,1,10.06,0.0,,10.06
OI00000051,ORD0000017,M0150,1,44.53,0.0,,44.53
OI00000052,ORD0000017,M0020,1,11.02,0.0,,11.02
OI00000053,ORD0000018,M0051,2,23.06,0.0,,46.12
OI00000054,ORD0000018,M0094,2,13.55,0.0,,27.1
OI00000055,ORD0000018,M0149,1,15.65,0.0,,15.65
OI00000056,ORD0000019,M0121,1,11.55,0.0,,11.55
OI00000057,ORD0000019,M0001,1,7.05,0.0,,7.05
OI00000058,ORD0000019,M0081,1,6.5,0.0,,6.5
OI00000059,ORD0000019,M0125,2,8.81,0.0,,17.62
OI00000060,ORD0000020,M0074,1,23.71,0.0,,23.71
OI00000061,ORD0000020,M0107,1,8.4,0.0,,8.4
OI00000062,ORD0000021,M0094,1,13.55,0.0,,13.55
OI00000063,ORD0000021,M0135,-2,16.69,0.0,,33.38
OI00000064,ORD0000021,M0014,3,6.49,0.0,,19.47
OI00000065,ORD0000021,,1,7.54,0.0,,7.54
OI00000066,ORD0000022,M0136,-3,18.77,0.0,,56.31
OI00000067,ORD0000022,M0067,3,16.75,0.0,,50.25
OI00000068,ORD0000022,M0009,1,14.34,0.0,,14.34
OI00000069,ORD0000022,M0094,2,13.55,0.0,,27.1
OI00000070,ORD0000023,M0127,1,34.56,0.0,,34.56
OI00000071,ORD0000023,M0038,2,4.25,0.0,,8.5
OI00000072,ORD0000024,M0141,1,15.66,0.0,,15.66
OI00000073,ORD0000024,M0080,1,20.77,0.0,,20.77
OI00000074,ORD0000024,M0064,3,18.19,0.0,,54.57
OI00000075,ORD0000025,M0064,2,18.19,0.0,,36.38
OI00000076,ORD0000025,M0004,1,15.93,0.0,,15.93
OI00000077,ORD0000025,M0001,1,7.05,0.0,,7.05
OI00000078,ORD0000026,M0073,1,15.13,0.0,,15.13
OI00000079,ORD0000026,M0016,1,6.03,0.0,,6.03
OI00000080,ORD0000027,M0079,2,4.36,0.0,,8.72
OI00000081,ORD0000027,M0124,1,3.79,0.0,,3.79
OI00000082,ORD0000027,M0098,1,37.98,0.0,,37.98
OI00000083,ORD0000027,M0097,2,13.14,0.0,,26.28
OI00000084,ORD0000027,M0099,1,11.02,0.0,,11.02
OI00000085,ORD0000028,M0115,1,19.51,0.0,,19.51
OI00000086,ORD0000028,M0099,2,11.02,0.0,,22.04
OI00000087,ORD0000028,M0156,2,11.07,0.0,,22.14
OI00000088,ORD0000028,M0032,1,20.67,0.0,,20.67
OI00000089,ORD0000029,M0150,2,44.53,0.0,,89.06
OI00000090,ORD0000029,M0122,1,6.63,0.0,,6.63
OI00000091,ORD0000030,M0020,1,11.02,0.0,,11.02
OI00000092,ORD0000030,M0149,1,15.65,0.0,,15.65
OI00000093,ORD0000031,M0105,2,18.0,0.0,,36.0
OI00000094,ORD0000032,M0065,1,42.52,0.0,,42.52
OI00000095,ORD0000033,M0093,1,25.56,0.0,,25.56
OI00000096,ORD0000033,M0133,1,9.14,0.0,,9.14
OI00000097,ORD0000033,M0115,1,19.51,0.0,,19.51
OI00000098,ORD0000033,M0094,1,13.55,0.0,,13.55
OI00000099,ORD0000033,M0083,1,42.19,0.0,,42.19
OI00000100,ORD0000033,M0113,3,29.12,0.0,,87.36
OI00000101,ORD0000034,M0032,1,20.67,0.0,,20.67
OI00000102,ORD0000034,M0084,3,7.82,0.0,,23.46
OI00000103,ORD0000034,M0114,1,10.06,0.0,,10.06
OI00000104,ORD0000034,M0083,2,42.19,0.0,,84.38
OI00000105,ORD0000035,M0074,1,23.71,0.0,,23.71
OI00000106,ORD0000035,M0147,1,18.92,0.0,,18.92
OI00000107,ORD0000035,M0112,1,8.68,0.0,,8.68
OI00000108,ORD0000035,M0041,1,20.94,0.0,,20.94
OI00000109,ORD0000036,M0136,1,18.77,0.0,,18.77
OI00000110,ORD0000036,M0099,1,11.02,0.0,,11.02
OI00000111,ORD0000037,M0094,1,13.55,0.0,,13.55
OI00000112,ORD0000037,M0135,1,16.69,0.0,,16.69
OI00000113,ORD0000038,M0082,1,12.21,0.0,,12.21
OI00000114,ORD0000038,M0147,2,18.92,0.0,,37.84
OI00000115,ORD0000038,M0006,1,28.1,0.0,,28.1
OI00000116,ORD0000039,M0103,1,10.97,0.0,,10.97
OI00000117,ORD0000040,M0107,2,8.4,0.0,,16.8
OI00000118,ORD0000040,M0006,1,28.1,0.0,,28.1
OI00000119,ORD0000040,M0115,1,19.51,0.0,,19.51
OI00000120,ORD0000041,M0051,1,23.06,0.0,,23.06
OI00000121,ORD0000041,M0135,1,16.69,0.0,,16.69
OI00000122,ORD0000041,M0123,2,14.0,0.0,,28.0
OI00000123,ORD0000042,M0160,1,18.46,0.0,,18.46
OI00000124,ORD0000042,M0094,1,13.55,0.0,,13.55
OI00000125,ORD0000043,M0095,1,7.62,0.0,,7.62
OI00000126,ORD0000043,M0025,2,3.4,0.0,,6.8
OI00000127,ORD0000044,M0124,1,3.79,0.0,,3.79
OI00000128,ORD0000044,M0054,1,48.03,0.0,,48.03
OI00000129,ORD0000044,M0042,2,15.93,0.0,,31.86
OI00000130,ORD0000044,M0086,1,14.42,0.0,,14.42
OI00000131,ORD0000044,M0159,2,14.15,0.0,,28.3
OI00000132,ORD0000044,M0127,1,34.56,0.0,,34.56
OI00000133,ORD0000044,M0117,2,15.78,0.0,,31.56
OI00000134,ORD0000045,M0079,1,4.36,0.0,,4.36
OI00000135,ORD0000045,M0124,2,3.79,0.0,,7.58
OI00000136,ORD0000046,M0057,1,12.17,0.0,,12.17
OI00000137,ORD0000046,M0065,1,42.52,0.0,,42.52
OI00000138,ORD0000047,M0105,1,18.0,0.0,,18.0
OI00000139,ORD0000047,M0121,1,11.55,0.0,,11.55
OI00000140,ORD0000048,M0072,2,9.21,0.0,,18.42
OI00000141,ORD0000048,M0074,1,23.71,0.0,,23.71
OI00000142,ORD0000049,M0093,1,25.56,0.0,,25.56
OI00000143,ORD0000049,M0099,2,11.02,0.0,,22.04
OI00000144,ORD0000049,M0085,2,4.18,0.0,,8.36
