order_id,customer_id,restaurant_id,order_datetime,channel,promotion_id,status,total_amount
ORD0000001,CUST000070,R004,2026-07-17 10:21:04,Website/App,,Completed,116.98
ORD0000002,CUST001542,R001,2026-03-03 19:38:04,Dine-in,,Completed,77.65
ORD0000003,CUST002754,R013,2025-11-07 22:16:04,Dine-in,,Completed,37.98
ORD0000004,CUST002770,R020,2026-09-23 12:03:04,Website/App,,Completed,56.44
ORD0000005,CUST001709,R012,2026-04-03 12:40:04,Dine-in,,Completed,17.03
ORD0000006,CUST002754,R003,2026-01-06 23:31:04,Dine-in,,Completed,61.15
ORD0000007,CUST002072,R019,2026-05-14 14:23:04,Dine-in,,Completed,140.74
ORD0000008,CUST003906,R013,2026-07-01 13:36:04,Dine-in,,Completed,18.87
ORD0000009,CUST000657,R009,2026-09-09 22:26:04,Third-Party Delivery,,Completed,51.34
ORD0000010,CUST002379,R014,2026-09-19 22:43:04,Website/App,,Completed,126.63
ORD0000011,CUST001960,R007,2026-09-17 14:57:04,Third-Party Delivery,,Completed,19.52
ORD0000012,CUST000792,R006,2026-07-25 22:09:04,Takeaway,,Completed,31.26
ORD0000013,CUST002989,R006,2026-01-12 12:02:04,Dine-in,,Completed,139.64
ORD0000014,CUST001098,R011,2026-02-10 16:20:04,Dine-in,,Completed,88.83
ORD0000015,CUST001513,R011,2026-03-11 20:33:04,Dine-in,,Completed,185.08
ORD0000016,CUST001482,R008,2026-09-14 21:07:04,Third-Party Delivery,,Completed,25.99
ORD0000017,CUST000980,R018,2026-08-24 11:59:04,Website/App,,Completed,55.55
ORD0000018,CUST001710,R001,2026-06-09 21:16:04,Takeaway,,Completed,88.87
ORD0000019,CUST001888,R011,2026-06-08 14:09:04,Dine-in,,Completed,42.72
ORD0000020,CUST002966,R017,2026-07-19 18:44:04,Takeaway,,Completed,32.11
ORD0000021,CUST003048,R014,2026-05-25 13:19:04,Takeaway,,Completed,73.94
ORD0000022,CUST000637,R012,2026-02-12 14:49:04,Third-Party Delivery,PROMO012,Completed,148.0
ORD0000023,CUST002351,R011,2025-10-02 12:58:04,Dine-in,,Completed,43.06
ORD0000024,CUST003581,R020,2025-10-05 19:04:04,Website/App,,Completed,91.0
ORD0000025,CUST000430,R006,2025-12-24 12:53:04,Website/App,,Completed,59.36
ORD0000026,CUST001886,R015,2026-07-05 14:32:04,Third-Party Delivery,,Completed,21.16
ORD0000027,CUST002989,R006,2026-01-27 22:28:04,Takeaway,,Completed,87.79
ORD0000028,CUST002423,R007,2026-08-20 18:18:04,Dine-in,,Completed,84.36
ORD0000029,CUST000393,R015,2026-08-13 15:41:04,Third-Party Delivery,,Completed,95.69
ORD0000030,CUST001569,R004,2026-09-03 11:30:04,Dine-in,,Completed,26.67
ORD0000031,CUST002021,R018,2025-10-29 13:45:04,Dine-in,,Completed,36.0
ORD0000032,CUST003987,R009,2026-06-08 19:29:04,Website/App,,Completed,42.52
ORD0000033,CUST000726,R007,2026-08-05 13:35:04,Dine-in,,Completed,197.31
ORD0000034,CUST003931,R005,2026-05-23 18:55:04,Takeaway,,Completed,138.57
ORD0000035,CUST001489,R020,2026-07-12 12:57:04,Takeaway,,Completed,72.25
ORD0000036,CUST000816,R006,2026-04-09 19:46:04,Dine-in,,Completed,29.79
ORD0000037,CUST001641,R020,2026-07-30 18:37:04,Website/App,,Completed,30.24
ORD0000038,CUST002434,R015,2026-09-19 20:32:04,Website/App,,Completed,78.15
ORD0000039,CUST000863,R012,2026-04-12 14:08:04,Website/App,,Completed,10.97
ORD0000040,CUST001157,R007,2026-05-07 19:22:04,Dine-in,,Completed,64.41
ORD0000041,CUST003413,R003,2026-06-24 22:18:04,Third-Party Delivery,,Completed,67.75
ORD0000042,CUST003997,R009,2026-07-10 12:32:04,Takeaway,,Completed,32.01
ORD0000043,CUST001262,R002,2026-09-14 12:08:04,Dine-in,,Completed,14.42
ORD0000044,CUST000592,R010,2026-05-21 12:49:04,Dine-in,,Completed,192.52
ORD0000045,CUST003167,R018,2026-02-18 18:28:04,Dine-in,,Completed,11.94
ORD0000046,CUST002378,R007,2026-05-23 12:39:04,Website/App,,Completed,54.69
ORD0000047,CUST000392,R007,2025-08-04 12:46:04,Third-Party Delivery,,Cancelled,29.55
ORD0000048,CUST003785,R002,2026-02-13 12:14:04,Dine-in,,Completed,42.13
ORD0000049,CUST000305,R018,2026-07-03 11:19:04,Takeaway,,Completed,55.96
ORD0000050,CUST002486,R015,2026-05-05 12:21:04,Takeaway,,Completed,65.51
ORD0000051,CUST001682,R020,2026-04-10 20:01:04,Website/App,,Completed,11.02
ORD0000052,CUST002208,R016,2026-08-22 11:24:04,Third-Party Delivery,,Completed,25.37
ORD0000053,CUST000862,R007,2026-04-01 18:42:04,Third-Party Delivery,,Completed,133.33
ORD0000054,CUST002743,R016,2026-06-19 13:30:04,Website/App,,Completed,75.69
ORD0000055,CUST003840,R013,2026-05-06 11:42:04,Dine-in,,Completed,7.05
ORD0000056,CUST001831,R014,2026-07-15 11:32:04,Takeaway,,Completed,34.7
ORD0000057,CUST002077,R009,2026-07-30 12:49:04,Dine-in,,Completed,31.46
ORD0000058,CUST000967,R003,2026-08-17 14:58:04,Dine-in,,Completed,88.65
ORD0000059,CUST003563,R017,2025-10-29 18:53:04,Takeaway,,Completed,125.16
ORD0000060,CUST003883,R014,2026-09-16 18:57:04,Takeaway,,Completed,93.54
ORD0000061,CUST003138,R011,2026-09-16 11:06:04,Third-Party Delivery,,Completed,161.25
ORD0000062,CUST002156,R007,2026-09-23 18:27:04,Third-Party Delivery,,Completed,97.5
ORD0000063,CUST003826,R003,2026-03-12 12:42:04,Dine-in,,Completed,176.87
ORD0000064,CUST000613,R012,2026-04-09 10:23:04,Dine-in,PROMO002,Completed,22.62
ORD0000065,CUST001908,R011,2026-05-18 21:51:04,Takeaway,,Completed,12.51
ORD0000066,CUST002135,R020,2026-08-09 19:06:04,Takeaway,,Completed,120.03
ORD0000067,CUST001962,R013,2026-09-15 22:24:04,Takeaway,,Completed,33.75
ORD0000068,CUST003201,R020,2026-05-07 21:07:04,Dine-in,,Completed,66.45
ORD0000069,CUST002657,R009,2025-08-12 22:49:04,Dine-in,,Completed,71.63
ORD0000070,CUST000500,R010,2026-09-24 22:06:04,Dine-in,,Completed,51.95
ORD0000071,CUST001366,R013,2026-08-15 22:57:04,Dine-in,,Completed,15.64
