customer_id,home_city,signup_date,preferred_channel,true_segment
CUST000001,Peshawar,2025-11-29,Dine-in,Frequent
CUST000002,Sialkot,2025-10-24,Third-Party Delivery,Occasional
CUST000003,Multan,2026-02-24,Website/App,Promotion-Driven
CUST000004,Quetta,2026-04-05,Takeaway,At-Risk
CUST000005,Peshawar,2026-04-03,Website/App,Frequent
CUST000006,Hyderabad,2025-11-17,Website/App,At-Risk
CUST000007,Quetta,2026-08-26,Takeaway,New
CUST000008,Quetta,2025-08-30,Website/App,Occasional
CUST000009,Faisalabad,2025-10-23,Dine-in,At-Risk
CUST000010,Rawalpindi,2026-09-23,Takeaway,New
CUST000011,Lahore,2026-09-15,Website/App,New
CUST000012,Peshawar,2026-09-05,Takeaway,Frequent
CUST000013,Islamabad,2026-09-05,Third-Party Delivery,Frequent
CUST000014,Faisalabad,2026-03-20,Dine-in,At-Risk
CUST000015,Islamabad,2025-12-24,Takeaway,High-Value Loyal
CUST000016,Sialkot,2026-03-04,Dine-in,At-Risk
CUST000017,Hyderabad,2026-08-31,Takeaway,New
CUST000018,Islamabad,2026-09-05,Takeaway,Occasional
CUST000019,Sialkot,2026-09-02,Takeaway,New
CUST000020,Karachi,2026-09-08,Dine-in,New
CUST000021,Islamabad,2025-10-18,Takeaway,Promotion-Driven
CUST000022,Peshawar,2025-11-05,Website/App,Promotion-Driven
CUST000023,Faisalabad,2025-12-29,Third-Party Delivery,Frequent
CUST000024,Quetta,2025-11-19,Dine-in,Frequent
CUST000025,Peshawar,2025-08-29,Dine-in,Promotion-Driven
CUST000026,Lahore,2026-05-23,Website/App,At-Risk
CUST000027,Faisalabad,2026-08-11,Dine-in,High-Value Loyal
CUST000028,Islamabad,2026-09-22,Takeaway,New
CUST000029,Islamabad,2026-08-17,Dine-in,Promotion-Driven
CUST000030,Lahore,2026-01-07,Dine-in,High-Value Loyal
CUST000031,Peshawar,2025-08-29,Takeaway,Occasional
CUST000032,Sialkot,2025-08-25,Third-Party Delivery,High-Value Loyal
CUST000033,Hyderabad,2026-05-26,Dine-in,Frequent
CUST000034,Hyderabad,2026-04-01,Third-Party Delivery,Promotion-Driven
CUST000035,Quetta,2026-04-14,Website/App,High-Value Loyal
CUST000036,Peshawar,2026-04-28,Dine-in,Occasional
CUST000037,Faisalabad,2025-10-19,Website/App,Frequent
CUST000038,Karachi,2025-08-29,Third-Party Delivery,Occasional
CUST000039,Multan,2026-04-17,Dine-in,At-Risk
CUST000040,Karachi,2025-09-10,Takeaway,Occasional
CUST000041,Rawalpindi,2025-11-03,Website/App,At-Risk
CUST000042,Karachi,2025-09-04,Dine-in,High-Value Loyal
CUST000043,Hyderabad,2026-05-31,Dine-in,Promotion-Driven
CUST000044,Hyderabad,2025-09-03,Takeaway,Occasional
CUST000045,Peshawar,2026-07-11,Third-Party Delivery,Occasional
CUST000046,Multan,2025-11-28,Third-Party Delivery,Occasional
CUST000047,Multan,2026-02-22,Takeaway,At-Risk
CUST000048,Karachi,2025-09-30,Dine-in,Promotion-Driven
CUST000049,Islamabad,2026-05-18,Website/App,Occasional
CUST000050,Multan,2025-12-04,Dine-in,At-Risk
CUST000051,Hyderabad,2026-05-23,Dine-in,Frequent
CUST000052,Lahore,2026-05-31,Dine-in,High-Value Loyal
CUST000053,Lahore,2025-08-20,Website/App,Occasional
CUST000054,Hyderabad,2026-06-13,Takeaway,Occasional
CUST000055,Karachi,2025-09-10,Takeaway,Promotion-Driven
CUST000056,Rawalpindi,2026-03-02,Takeaway,Occasional
