price_id,item_id,price,effective_from,effective_to
P000001,M0001,7.05,2023-03-25,2025-12-28
P000002,M0001,7.67,2025-12-28,
P000003,M0002,16.25,2024-05-06,
P000004,M0003,31.6,2023-01-24,
P000005,M0004,15.93,2022-04-12,
P000006,M0005,13.03,2024-01-09,2025-10-19
P000007,M0005,13.96,2025-10-19,2026-03-10
P000008,M0005,16.76,2026-03-10,2026-03-20
P000009,M0005,20.55,2026-03-20,
P000010,M0006,28.1,2021-01-16,2025-08-01
P000011,M0006,29.67,2025-08-01,2026-08-04
P000012,M0006,28.16,2026-08-04,
P000013,M0007,7.77,2020-09-15,
P000014,M0008,10.19,2025-07-18,2025-12-12
P000015,M0008,9.86,2025-12-12,2026-08-03
P000016,M0008,10.5,2026-08-03,
P000017,M0009,14.34,2021-04-29,2026-04-13
P000018,M0009,13.6,2026-04-13,
P000019,M0010,27.34,2021-01-23,
P000020,M0011,7.74,2024-09-08,
P000021,M0012,14.79,2021-09-01,2026-08-25
P000022,M0012,14.36,2026-08-25,
P000023,M0013,8.62,2023-03-19,2025-10-30
P000024,M0013,9.98,2025-10-30,
P000025,M0014,6.49,2023-09-04,
P000026,M0015,25.03,2024-01-09,
P000027,M0016,6.03,2024-09-16,
P000028,M0017,7.5,2024-05-17,2026-04-16
P000029,M0017,6.85,2026-04-16,
P000030,M0018,17.27,2021-04-20,2025-09-23
P000031,M0018,18.9,2025-09-23,
P000032,M0019,8.39,2023-09-11,2025-12-30
P000033,M0019,8.11,2025-12-30,2026-06-16
P000034,M0019,8.32,2026-06-16,
P000035,M0020,11.02,2025-01-03,
P000036,M0021,8.21,2025-01-23,2026-04-16
P000037,M0021,7.58,2026-04-16,2026-06-23
P000038,M0021,7.22,2026-06-23,
P000039,M0022,16.69,2023-06-14,
P000040,M0023,9.99,2025-01-14,2025-11-09
P000041,M0023,10.98,2025-11-09,2026-06-07
P000042,M0023,9.91,2026-06-07,
P000043,M0024,4.61,2023-07-27,2025-10-17
P000044,M0024,3.83,2025-10-17,
P000045,M0025,3.4,2020-10-30,
P000046,M0026,7.99,2023-08-27,
