rating_id,customer_id,item_id,restaurant_id,order_id,rating,review_date
RATE0000001,CUST003680,M0032,R015,ORD0001916,4,2026-08-19
RATE0000002,CUST000528,M0098,R008,ORD0001638,4,2026-09-25
RATE0000003,CUST000854,M0084,R019,ORD0003824,4,2025-10-21
RATE0000004,CUST000607,M0107,R013,ORD0008389,4,2026-08-31
RATE0000005,CUST003341,M0070,R003,ORD0005783,5,2026-08-12
RATE0000006,CUST002255,M0135,R005,ORD0006617,4,2025-12-20
RATE0000007,CUST003253,M0036,R009,ORD0004227,5,2025-12-21
RATE0000008,CUST003709,M0086,R009,ORD0003334,4,2026-06-07
RATE0000009,CUST000468,M0057,R014,ORD0007077,5,2026-09-17
RATE0000010,CUST003895,M0138,R018,ORD0002506,4,2026-09-21
RATE0000011,CUST001258,M0134,R007,ORD0003466,4,2026-08-19
RATE0000012,CUST000970,M0002,R018,ORD0003735,4,2026-02-06
RATE0000013,CUST002295,M0135,R005,ORD0008811,3,2026-04-08
RATE0000014,CUST003705,M0141,R002,ORD0007689,3,2026-07-05
RATE0000015,CUST001560,M0139,R009,ORD0000405,5,2026-09-06
RATE0000016,CUST003637,M0051,R004,ORD0000340,4,2026-02-18
RATE0000017,CUST003577,M0043,R005,ORD0008810,3,2026-09-18
RATE0000018,CUST000198,M0133,R009,ORD0000195,5,2026-09-09
RATE0000019,CUST003623,M0105,R016,ORD0003615,4,2026-06-17
RATE0000020,CUST003912,M0057,R004,ORD0006674,4,2026-07-08
RATE0000021,CUST002065,M0105,R020,ORD0006744,5,2026-06-25
RATE0000022,CUST001970,M0094,R019,ORD0006120,4,2026-09-07
RATE0000023,CUST002672,M0081,R014,ORD0008016,4,2026-09-07
RATE0000024,CUST001712,M0105,R011,ORD0001520,4,2026-06-28
RATE0000025,CUST001838,M0133,R017,ORD0004503,3,2026-07-04
RATE0000026,CUST001024,M0094,R003,ORD0003246,3,2026-04-30
RATE0000027,CUST002574,M0157,R009,ORD0007313,4,2025-12-30
RATE0000028,CUST001195,M0144,R017,ORD0007328,4,2025-12-15
RATE0000029,CUST002715,M0048,R007,ORD0003525,4,2026-09-13
RATE0000030,CUST003587,M0124,R017,ORD0008242,3,2026-09-03
RATE0000031,CUST003729,M0133,R018,ORD0000569,4,2026-03-16
RATE0000032,CUST002599,M0015,R004,ORD0006297,3,2026-08-05
RATE0000033,CUST002016,M0025,R020,ORD0004190,3,2026-07-06
RATE0000034,CUST003649,M0065,R016,ORD0008891,5,2026-06-09
RATE0000035,CUST000222,M0055,R011,ORD0007858,3,2026-09-23
RATE0000036,CUST001143,M0026,R014,ORD0007916,3,2026-05-09
RATE0000037,CUST001446,M0051,R016,ORD0005191,5,2026-04-13
RATE0000038,CUST001609,M0154,R008,ORD0003574,4,2026-09-03
RATE0000039,CUST003893,M0114,R018,ORD0005411,5,2026-09-17
RATE0000040,CUST002135,M0082,R020,ORD0000066,4,2026-08-11
RATE0000041,CUST000108,M0044,R008,ORD0000806,4,2026-08-28
RATE0000042,CUST001417,M0066,R007,ORD0004679,4,2026-05-03
RATE0000043,CUST003404,M0111,R014,ORD0005328,4,2026-09-26
RATE0000044,CUST003063,M0006,R016,ORD0000656,4,2026-07-25
RATE0000045,CUST003765,M0092,R015,ORD0006358,4,2026-09-23
RATE0000046,CUST000324,M0065,R007,ORD0006513,4,2026-04-21
RATE0000047,CUST001116,M0111,R013,ORD0000538,4,2026-04-17
RATE0000048,CUST003599,M0086,R016,ORD0007420,4,2026-09-07
RATE0000049,CUST002540,M0117,R015,ORD0001039,4,2026-05-06
RATE0000050,CUST000904,M0045,R002,ORD0007615,4,2026-09-26
RATE0000051,CUST000223,M0121,R019,ORD0005152,4,2026-09-10
RATE0000052,CUST000984,M0111,R008,ORD0005768,4,2026-05-05
RATE0000053,CUST000055,M0064,R011,ORD0005515,4,2026-09-17
RATE0000054,CUST000449,M0084,R006,ORD0002819,5,2026-09-05
RATE0000055,CUST000975,M0025,R002,ORD0005521,4,2026-04-22
RATE0000056,CUST002427,M0073,R005,ORD0003306,4,2026-08-13
RATE0000057,CUST000015,M0151,R013,ORD0003964,4,2025-12-29
RATE0000058,CUST003914,M0073,R005,ORD0001399,3,2026-09-11
RATE0000059,CUST000459,M0120,R008,ORD0005137,4,2025-12-21
RATE0000060,CUST002549,M0122,R020,ORD0004257,5,2026-05-04
RATE0000061,CUST000872,M0081,R014,ORD0008990,5,2026-09-29
