wastage_id,restaurant_id,item_id,date,wasted_qty,wastage_cost,reason
WST0000001,R004,M0019,2026-07-03,1.9,11.76,Overproduction
WST0000002,R020,M0082,2026-01-04,3.9,26.09,Quality Rejection
WST0000003,R010,M0022,2025-12-25,5.4,47.95,Expired Ingredients
WST0000004,R008,M0052,2026-06-28,9.1,67.61,Overproduction
WST0000005,R001,M0066,2026-01-23,2.6,17.06,Quality Rejection
WST0000006,R007,M0043,2026-07-07,3.0,9.09,Customer Return
WST0000007,R014,M0095,2025-08-25,13.7,58.64,Preparation Waste
WST0000008,R012,M0137,2026-06-20,5.4,30.4,Customer Return
WST0000009,R007,M0089,2026-09-18,1.4,8.06,Quality Rejection
WST0000010,R009,M0151,2026-01-03,1.1,14.67,Spoilage
WST0000011,R018,M0146,2026-05-17,3.5,22.86,Quality Rejection
WST0000012,R010,M0104,2025-09-12,13.4,81.47,Quality Rejection
WST0000013,R007,M0094,2026-08-12,14.1,104.2,Spoilage
WST0000014,R004,M0102,2025-08-27,11.9,104.12,Customer Return
WST0000015,R007,M0094,2026-07-29,3.1,22.91,Overproduction
WST0000016,R011,M0138,2026-06-02,2.8,21.36,Overproduction
WST0000017,R014,M0127,2026-08-10,7.0,89.53,Spoilage
WST0000018,R016,M0151,2026-04-16,4.2,56.03,Expired Ingredients
WST0000019,R004,M0086,2025-09-20,4.0,30.6,Expired Ingredients
WST0000020,R011,M0098,2026-03-29,7.9,86.11,Quality Rejection
WST0000021,R005,M0067,2026-06-11,4.4,26.66,Customer Return
WST0000022,R017,M0065,2026-03-10,2.1,28.2,Quality Rejection
WST0000023,R016,M0130,2026-01-01,9.4,113.18,Expired Ingredients
WST0000024,R020,M0099,2026-09-18,1.7,6.99,Preparation Waste
WST0000025,R007,M0009,2025-10-06,13.4,114.03,Quality Rejection
WST0000026,R014,M0082,2025-10-22,13.9,92.99,Spoilage
WST0000027,R019,M0081,2026-05-03,8.6,38.18,Quality Rejection
WST0000028,R002,M0028,2025-09-29,2.0,19.52,Expired Ingredients
WST0000029,R015,M0076,2026-03-01,3.4,31.55,Overproduction
WST0000030,R011,M0022,2025-12-02,5.0,44.4,Preparation Waste
WST0000031,R002,M0068,2025-12-02,1.5,16.27,Customer Return
WST0000032,R003,M0121,2026-03-08,3.3,17.03,Expired Ingredients
WST0000033,R002,M0137,2025-12-25,12.0,67.56,Quality Rejection
WST0000034,R019,M0059,2026-09-09,11.1,153.62,Expired Ingredients
WST0000035,R004,M0137,2026-07-20,5.5,30.96,Quality Rejection
WST0000036,R014,M0083,2026-06-06,2.1,26.36,Spoilage
WST0000037,R006,M0148,2026-09-15,5.6,32.48,Quality Rejection
WST0000038,R019,M0062,2025-09-19,8.4,104.92,Expired Ingredients
WST0000039,R020,M0053,2026-09-16,13.9,85.9,Preparation Waste
WST0000040,R003,M0100,2026-07-25,4.5,38.34,Spoilage
WST0000041,R011,M0030,2025-08-03,1.3,8.79,Spoilage
WST0000042,R013,M0009,2026-09-06,13.0,110.63,Customer Return
WST0000043,R020,M0021,2026-02-26,2.2,14.12,Spoilage
WST0000044,R005,M0016,2026-08-13,12.7,37.08,Quality Rejection
WST0000045,R015,M0060,2026-06-10,4.1,52.97,Preparation Waste
WST0000046,R015,M0119,2025-10-05,1.8,7.72,Expired Ingredients
WST0000047,R020,M0121,2026-05-11,4.3,22.19,Overproduction
WST0000048,R006,M0132,2025-08-18,10.4,31.62,Customer Return
WST0000049,R015,M0121,2026-05-28,10.7,55.21,Customer Return
WST0000050,R001,M0081,2026-06-27,7.3,32.41,Spoilage
WST0000051,R001,M0022,2026-06-07,12.7,112.78,Customer Return
WST0000052,R020,M0032,2025-10-25,4.7,49.35,Customer Return
WST0000053,R017,M0052,2026-09-20,13.1,97.33,Spoilage
WST0000054,R014,M0085,2025-09-01,1.7,4.96,Customer Return
WST0000055,R005,M0152,2025-08-10,11.7,54.29,Overproduction
WST0000056,R013,M0098,2026-09-03,4.1,44.69,Customer Return
WST0000057,R020,M0081,2026-07-08,13.7,60.83,Quality Rejection
WST0000058,R019,M0009,2026-06-05,13.4,114.03,Spoilage
WST0000059,R003,M0151,2026-08-14,25.0,6.67,Quality Rejection
WST0000060,R012,M0099,2026-02-13,2.0,8.22,Expired Ingredients
WST0000061,R001,M0022,2025-09-06,9.7,86.14,Expired Ingredients
WST0000062,R011,M0074,2025-11-21,3.5,43.05,Expired Ingredients
WST0000063,R018,M0060,2025-11-02,7.4,95.61,Overproduction
WST0000064,R016,M0028,2025-12-10,0.8,7.81,Expired Ingredients
WST0000065,R013,M0132,2025-10-07,8.4,25.54,Preparation Waste
WST0000066,R003,M0159,2026-06-26,0.8,5.45,Overproduction
WST0000067,R001,M0053,2025-11-14,7.4,45.73,Preparation Waste
WST0000068,R018,M0132,2026-02-21,4.2,12.77,Customer Return
WST0000069,R018,M0142,2026-04-01,11.8,144.08,Preparation Waste
WST0000070,R018,M0046,2026-08-30,3.5,34.62,Quality Rejection
WST0000071,R014,M0046,2026-08-08,4.1,40.55,Preparation Waste
WST0000072,R007,M0102,2025-09-22,13.6,119.0,Expired Ingredients
WST0000073,R011,M0069,2026-05-19,1.4,9.56,Customer Return
WST0000074,R002,M0082,2025-10-24,14.6,97.67,Preparation Waste
WST0000075,R005,M0102,2026-08-17,4.5,39.38,Spoilage
WST0000076,R011,M0002,2026-05-05,3.7,31.38,Customer Return
WST0000077,R008,M0052,2026-07-11,12.2,90.65,Spoilage
WST0000078,R018,M0009,2025-11-27,6.5,55.32,Customer Return
WST0000079,R018,M0121,2026-08-19,13.6,70.18,Customer Return
WST0000080,R020,M0004,2026-07-18,4.7,26.41,Customer Return
WST0000081,R019,M0094,2026-07-04,3.6,26.6,Customer Return
WST0000082,R009,M0098,2026-07-29,7.3,79.57,Spoilage
WST0000083,R010,M0148,2026-06-17,3.6,20.88,Preparation Waste
WST0000084,R007,M0114,2026-07-08,1.0,7.7,Expired Ingredients
WST0000085,R015,M0126,2026-02-03,3.9,29.33,Quality Rejection
WST0000086,R014,M0150,2025-10-13,1.7,21.44,Preparation Waste
WST0000087,R013,M0104,2026-07-28,6.2,37.7,Overproduction
WST0000088,R003,M0060,2025-10-19,3.9,50.39,Expired Ingredients
WST0000089,R008,M0052,2025-11-12,6.1,45.32,Quality Rejection
WST0000090,R002,M0097,2026-08-11,0.6,4.75,Preparation Waste
WST0000091,R019,M0081,2025-12-10,14.6,64.82,Spoilage
WST0000092,R006,M0130,2025-11-08,13.2,158.93,Expired Ingredients
WST0000093,R010,M0022,2026-08-12,11.3,100.34,Preparation Waste
WST0000094,R019,M0001,2025-11-19,2.9,11.31,Spoilage
WST0000095,R014,M0051,2025-12-08,4.5,62.5,Expired Ingredients
WST0000096,R017,M0070,2025-08-24,1.5,18.27,Overproduction
WST0000097,R014,M0052,2026-07-10,7.3,54.24,Spoilage
WST0000098,R016,M0157,2026-01-05,4.3,14.75,Spoilage
WST0000099,R002,M0062,2025-12-31,14.6,182.35,Overproduction
WST0000100,R010,M0098,2025-11-10,9.6,104.64,Spoilage
WST0000101,R008,M0157,2026-06-28,11.0,37.73,Overproduction
